Nome Instancia,Solucao otima TSP,Solucao GRASP TSP,Tempo GRASP TSP,Solucao TSPD
uniform-alpha_1-50-n9,324.47,324.47,0.0,455.16
uniform-alpha_1-6-n5,262.46,262.46,0.0,243.42
uniform-alpha_1-7-n5,291.8,291.8,0.0,231.23
uniform-alpha_1-8-n5,245.21,245.21,0.0,216.29
uniform-alpha_1-9-n5,232.43,232.43,0.0,193.09
uniform-alpha_3-1-n5,313.23,313.23,0.0,423.96
uniform-alpha_3-10-n5,276.29,276.29,0.0,432.58
uniform-alpha_3-11-n6,262.63,262.63,0.0,450.81
uniform-alpha_3-12-n6,332.32,332.32,0.0,708.67
uniform-alpha_3-13-n6,240.42,240.42,0.0,413.19
uniform-alpha_3-14-n6,239.08,239.08,0.0,370.95
uniform-alpha_3-15-n6,213.02,213.02,0.0,342.01
uniform-alpha_3-16-n6,272.92,272.92,0.0,459.98
uniform-alpha_3-17-n6,302.02,302.02,0.0,614.66
uniform-alpha_3-18-n6,238.25,238.14,0.0,431.20
uniform-alpha_3-19-n6,269.17,269.17,0.0,437.41
uniform-alpha_3-2-n5,261.48,261.48,0.0,654.50
uniform-alpha_3-20-n6,265.03,265.03,0.0,364.46
uniform-alpha_3-21-n7,270.69,270.69,0.0,760.50
uniform-alpha_3-22-n7,249.96,249.96,0.0,436.18
uniform-alpha_3-23-n7,277.2,277.2,0.0,860.64
uniform-alpha_3-24-n7,287.51,287.51,0.0,639.94
uniform-alpha_3-25-n7,291.35,291.35,0.0,451.60
uniform-alpha_3-26-n7,242.94,242.94,0.0,450.13
uniform-alpha_3-27-n7,287.87,287.87,0.0,532.82
uniform-alpha_3-28-n7,320.06,320.06,0.0,584.78
uniform-alpha_3-29-n7,335.33,335.33,0.0,883.79
uniform-alpha_3-3-n5,258.05,258.05,0.0,426.62
uniform-alpha_3-30-n7,238.89,238.89,0.0,440.71
uniform-alpha_3-31-n8,306.56,306.56,0.0,518.55
uniform-alpha_3-32-n8,255.85,259.91,0.0,332.24
uniform-alpha_3-33-n8,245.55,245.55,0.0,232.59
uniform-alpha_3-34-n8,331.25,330.42,0.0,486.09
uniform-alpha_3-35-n8,254.89,254.71,0.0,649.30
uniform-alpha_3-36-n8,330.6,330.6,0.0,553.78
uniform-alpha_3-37-n8,306.12,306.12,0.0,426.15
uniform-alpha_3-38-n8,333.95,333.95,0.0,514.63
uniform-alpha_3-39-n8,297.75,297.75,0.0,506.94
uniform-alpha_3-4-n5,222.94,222.94,0.0,358.13
uniform-alpha_3-40-n8,262.32,262.32,0.0,417.90
uniform-alpha_3-41-n9,360.84,360.84,0.0,440.66
uniform-alpha_3-42-n9,285.6,285.6,0.0,449.68
uniform-alpha_3-43-n9,305.75,305.75,0.0,491.97
uniform-alpha_3-44-n9,284.71,284.71,0.0,649.32
uniform-alpha_3-45-n9,322.98,322.98,0.0,521.58
uniform-alpha_3-46-n9,302.91,302.91,0.0,521.82
uniform-alpha_3-47-n9,349.99,349.99,0.0,676.87
uniform-alpha_3-48-n9,316.65,316.65,0.0,485.90
uniform-alpha_3-49-n9,228.5,228.5,0.0,325.53
uniform-alpha_3-5-n5,301.96,301.96,0.0,517.81
uniform-alpha_3-50-n9,324.47,324.47,0.0,751.79
uniform-alpha_3-6-n5,262.46,262.46,0.0,629.37
uniform-alpha_3-7-n5,291.8,291.8,0.0,472.85
uniform-alpha_3-8-n5,245.21,245.21,0.0,523.65
