Nome Instancia,Solucao otima TSP,Solucao TSPD Grafo Aux,Tempo TSPD Grafo Aux,Solucao TSPD Paper
uniform-alpha_3-10-n5,276.29,207.82,0.00,181.50
uniform-alpha_3-11-n6,262.63,219.07,0.00,171.70
uniform-alpha_3-12-n6,332.32,250.08,0.00,190.77
uniform-alpha_3-13-n6,240.42,173.97,0.00,122.15
uniform-alpha_3-14-n6,239.08,140.02,0.00,140.02
uniform-alpha_3-15-n6,213.02,162.82,0.00,129.44
uniform-alpha_3-16-n6,272.92,205.24,0.02,176.14
uniform-alpha_3-17-n6,302.02,201.67,0.00,178.71
uniform-alpha_3-18-n6,238.25,197.48,0.00,148.81
uniform-alpha_3-19-n6,269.17,187.32,0.01,169.68
uniform-alpha_3-2-n5,261.48,218.94,0.00,187.25
uniform-alpha_3-20-n6,265.03,149.09,0.00,146.45
uniform-alpha_3-21-n7,270.69,214.26,0.00,208.35
uniform-alpha_3-22-n7,249.96,217.97,0.01,220.61
uniform-alpha_3-23-n7,277.2,257.86,0.03,230.21
uniform-alpha_3-24-n7,287.51,230.28,0.00,191.95
uniform-alpha_3-25-n7,291.35,194.57,0.00,232.96
uniform-alpha_3-26-n7,242.94,220.8,0.01,224.28
uniform-alpha_3-27-n7,287.87,191.09,0.01,190.45
uniform-alpha_3-28-n7,320.06,275.35,0.00,252.40
uniform-alpha_3-29-n7,335.33,264.23,0.00,238.19
uniform-alpha_3-3-n5,258.05,174.6,0.00,159.65
uniform-alpha_3-30-n7,238.89,199.23,0.00,202.20
uniform-alpha_3-31-n8,306.56,253.09,0.01,299.56
uniform-alpha_3-32-n8,255.85,124.41,0.01,125.19
uniform-alpha_3-33-n8,245.55,222.55,0.02,232.59
uniform-alpha_3-34-n8,331.25,261.31,0.01,282.86
uniform-alpha_3-35-n8,254.89,223.93,0.02,169.11
uniform-alpha_3-36-n8,330.6,248.58,0.00,280.24
uniform-alpha_3-37-n8,306.12,221.45,0.01,236.22
uniform-alpha_3-38-n8,333.95,204.88,0.01,220.10
uniform-alpha_3-39-n8,297.75,247.16,0.00,274.75
uniform-alpha_3-4-n5,222.94,162.37,0.01,136.10
uniform-alpha_3-40-n8,262.32,197.61,0.00,253.63
uniform-alpha_3-41-n9,360.84,280.1,0.02,440.66
uniform-alpha_3-42-n9,285.6,222.3,0.02,334.68
uniform-alpha_3-43-n9,305.75,238.16,0.01,306.16
uniform-alpha_3-44-n9,284.71,213.22,0.01,299.03
uniform-alpha_3-45-n9,322.98,231.77,0.01,313.82
uniform-alpha_3-46-n9,302.91,239.52,0.00,300.11
uniform-alpha_3-47-n9,349.99,273.17,0.00,400.87
uniform-alpha_3-48-n9,316.65,246.78,0.00,303.18
uniform-alpha_3-49-n9,228.5,189.21,0.00,325.53
uniform-alpha_3-5-n5,301.96,237.24,0.00,237.24
uniform-alpha_3-50-n9,324.47,263.96,0.02,386.89
uniform-alpha_3-6-n5,262.46,233.97,0.01,175.39
uniform-alpha_3-7-n5,291.8,209.34,0.00,191.29
uniform-alpha_3-8-n5,245.21,210.76,0.00,154.63
uniform-alpha_3-9-n5,232.43,179.02,0.01,157.02
