Nome Instancia,Qtd Vertices,Solucao otima TSP,Solucao TSPD Spikes +  Grafo Aux ,Tempo TSPD Spikes + Grafo Aux,Solucao TSPD Paper
doublecenter-alpha_3-44-n9,9,820.72,674.45,0,1296.48
doublecenter-alpha_3-45-n9,9,566.44,510.15,0,550.04
doublecenter-alpha_3-46-n9,9,573.93,493.5,0,592.09
doublecenter-alpha_3-47-n9,9,725.29,664.86,0,687
doublecenter-alpha_3-48-n9,9,526.73,425.38,0,471.77
doublecenter-alpha_3-49-n9,9,453.4,292.78,0,564.76
doublecenter-alpha_3-50-n9,9,596.38,482.58,0,642.1
singlecenter-41-n9,9,237.83,163.41,0,209.61
singlecenter-42-n9,9,566.41,352.07,0,680.91
singlecenter-43-n9,9,355.44,276.05,0,552.01
singlecenter-44-n9,9,368.25,299.18,0,379.87
singlecenter-45-n9,9,410.12,341.65,0,440.95
singlecenter-46-n9,9,384.39,249.28,0,262.28
singlecenter-47-n9,9,472,344.17,0,534.93
singlecenter-48-n9,9,361.17,229.12,0,239.15
singlecenter-49-n9,9,506.41,420,0,504
singlecenter-50-n9,9,367.1,264.22,0,374.26
singlecenter-alpha_1-41-n9,9,237.83,184.87,0,296.18
singlecenter-alpha_1-42-n9,9,566.41,490.34,0,670.48
singlecenter-alpha_1-43-n9,9,355.44,298.32,0,341.83
singlecenter-alpha_1-44-n9,9,368.25,344.21,0,391.88
singlecenter-alpha_1-45-n9,9,410.12,423.32,0,390.34
singlecenter-alpha_1-46-n9,9,384.39,341.36,0,415.55
singlecenter-alpha_1-47-n9,9,472,427.23,0,581.57
singlecenter-alpha_1-48-n9,9,361.17,277.72,0,343.13
singlecenter-alpha_1-49-n9,9,506.41,486.02,0,588.71
singlecenter-alpha_1-50-n9,9,367.1,345.36,0,376.81
singlecenter-alpha_3-41-n9,9,237.83,162.4,0,275.12
singlecenter-alpha_3-42-n9,9,566.41,329.37,0,521.36
singlecenter-alpha_3-43-n9,9,355.44,264.51,0,374.33
singlecenter-alpha_3-44-n9,9,368.25,284.72,0,321.76
singlecenter-alpha_3-45-n9,9,410.12,331.22,0,438.23
singlecenter-alpha_3-46-n9,9,384.39,218.69,0,267.77
singlecenter-alpha_3-47-n9,9,472,308.06,0,485.97
singlecenter-alpha_3-48-n9,9,361.17,176.23,0,378.67
singlecenter-alpha_3-49-n9,9,506.41,411.48,0,426.03
singlecenter-alpha_3-50-n9,9,367.1,230.14,0,261.14
uniform-41-n9,9,360.84,313.64,0.01,402.09
uniform-42-n9,9,285.6,239.15,0,367.9
uniform-43-n9,9,305.75,213.77,0,314.63
uniform-44-n9,9,284.71,198.78,0,334.75
uniform-45-n9,9,322.98,240.68,0,268.37
uniform-46-n9,9,302.91,256.71,0,317.14
uniform-47-n9,9,349.99,281,0,426.92
uniform-48-n9,9,316.65,267.91,0,433.77
uniform-49-n9,9,228.5,202.54,0,237.95
uniform-50-n9,9,324.47,295.24,0,367.64
uniform-alpha_1-41-n9,9,360.84,322.14,0,481.75
uniform-alpha_1-42-n9,9,285.6,300.98,0,366.43
uniform-alpha_1-43-n9,9,305.75,270.66,0,363.69
uniform-alpha_1-44-n9,9,284.71,255.2,0,324.26
uniform-alpha_1-45-n9,9,322.98,322.31,0.01,315.53
uniform-alpha_1-46-n9,9,302.91,295.08,0,322.15
uniform-alpha_1-47-n9,9,349.99,367.82,0,395.17
uniform-alpha_1-48-n9,9,316.65,319.82,0,326.25
uniform-alpha_1-49-n9,9,228.5,233.29,0,273.3
uniform-alpha_1-50-n9,9,324.47,324.3,0,455.16
uniform-alpha_3-41-n9,9,360.84,291.62,0,440.66
uniform-alpha_3-42-n9,9,285.6,235.76,0,334.68
uniform-alpha_3-43-n9,9,305.75,198.28,0,306.16
uniform-alpha_3-44-n9,9,284.71,191.22,0,299.03
uniform-alpha_3-45-n9,9,322.98,228.13,0,313.82
uniform-alpha_3-46-n9,9,302.91,246.15,0,300.11
uniform-alpha_3-47-n9,9,349.99,273.08,0,400.87
